country code,country,indicator,est_mean,est_low,est_high,est_median
AGO,Angola,cases,618.2378815,0,2368.969609,NA
AGO,Angola,rate_10k,0.20800000000000002,0,0.7949999999999999,NA
AGO,Angola,perc_pop_highIncid,0.64,0,3.46,0
AGO,Angola,perc_pop_medIncid,1.59,0,5.4,0
AGO,Angola,perc_pop_lowIncid,5.07,0,25.71,4.68
BDI,Burundi,cases,504.4742253,89.76670772,1156.387821,NA
BDI,Burundi,rate_10k,0.464,0.0826,1.0644,NA
BDI,Burundi,perc_pop_highIncid,0.08,0,1.41,0
BDI,Burundi,perc_pop_medIncid,9.3,0,34.16,5.73
BDI,Burundi,perc_pop_lowIncid,57.42,14.54,82.05,63.52
BEN,Benin,cases,179.8972049,0.011590966,847.2840047,NA
BEN,Benin,rate_10k,0.16099999999999998,1.0399999999999999e-5,0.758,NA
BEN,Benin,perc_pop_highIncid,0.13,0,1.2,0
BEN,Benin,perc_pop_medIncid,2.21,0,12.32,0
BEN,Benin,perc_pop_lowIncid,5.71,0,20.93,1.2
BFA,Burkina Faso,cases,0.063905469,3.48e-72,0.181904089,NA
BFA,Burkina Faso,rate_10k,3.28e-5,1.7800000000000001e-75,9.33e-5,NA
BFA,Burkina Faso,perc_pop_highIncid,0,0,0,0
BFA,Burkina Faso,perc_pop_medIncid,0,0,0,0
BFA,Burkina Faso,perc_pop_lowIncid,0,0,0,0
CAF,C. African Republic,cases,35.67944997,0.0059236,180.2495748,NA
CAF,C. African Republic,rate_10k,0.0766,1.27e-5,0.387,NA
CAF,C. African Republic,perc_pop_highIncid,0,0,0.04,0
CAF,C. African Republic,perc_pop_medIncid,0.53,0,3.86,0
CAF,C. African Republic,perc_pop_lowIncid,19.01,0,98.19,0
CIV,Cote D'Ivoire,cases,37.91526554,4.774786461,138.7693179,NA
CIV,Cote D'Ivoire,rate_10k,0.015600000000000001,0.00197,0.057100000000000005,NA
CIV,Cote D'Ivoire,perc_pop_highIncid,0,0,0,0
CIV,Cote D'Ivoire,perc_pop_medIncid,0,0,0,0
CIV,Cote D'Ivoire,perc_pop_lowIncid,2.02,0,17.17,0
CMR,Cameroon,cases,562.3344218,20.23996824,1546.305021,NA
CMR,Cameroon,rate_10k,0.23399999999999999,0.008409999999999999,0.643,NA
CMR,Cameroon,perc_pop_highIncid,0.5,0.01,1.67,0.02
CMR,Cameroon,perc_pop_medIncid,3.06,0.01,8.11,1.34
CMR,Cameroon,perc_pop_lowIncid,5.21,1.54,7.86,5.72
COD,DR Congo,cases,49062.09819,35886.4035,69505.46599,NA
COD,DR Congo,rate_10k,6.0317300000000005,4.4119,8.54505,NA
COD,DR Congo,perc_pop_highIncid,6.85,3.5,13.3,6.03
COD,DR Congo,perc_pop_medIncid,15.41,7.28,35.84,11.35
COD,DR Congo,perc_pop_lowIncid,22.9,13.11,38.85,21.63
COG,Republic of Congo,cases,21.2836954,0,95.76005777,NA
COG,Republic of Congo,rate_10k,0.0405,0,0.182,NA
COG,Republic of Congo,perc_pop_highIncid,0.07,0,0.49,0
COG,Republic of Congo,perc_pop_medIncid,0.38,0,2.61,0.04
COG,Republic of Congo,perc_pop_lowIncid,3.48,0,25.77,1.25
ETH,Ethiopia,cases,18238.3778,765.7372942,57415.96243,NA
ETH,Ethiopia,rate_10k,1.73769,0.07300000000000001,5.470400000000001,NA
ETH,Ethiopia,perc_pop_highIncid,0.39,0,2.5,0
ETH,Ethiopia,perc_pop_medIncid,1.29,0,7.3,0.09
ETH,Ethiopia,perc_pop_lowIncid,1.63,0,4.7,1.68
GHA,Ghana,cases,168.9656849,0.272088025,483.4152091,NA
GHA,Ghana,rate_10k,0.0586,9.44e-5,0.16799999999999998,NA
GHA,Ghana,perc_pop_highIncid,0.04,0,0.26,0
GHA,Ghana,perc_pop_medIncid,1.61,0,5.72,0
GHA,Ghana,perc_pop_lowIncid,4.46,0,18.52,0.23
GIN,Guinea,cases,1.017551922,0.005172987,0.796885606,NA
GIN,Guinea,rate_10k,8e-4,4.07e-6,6.27e-4,NA
GIN,Guinea,perc_pop_highIncid,0,0,0,0
GIN,Guinea,perc_pop_medIncid,0.01,0,0,0
GIN,Guinea,perc_pop_lowIncid,0.07,0,0.25,0
GNB,Guinea Bissau,cases,0.07245397,1.88e-21,0.449233913,NA
GNB,Guinea Bissau,rate_10k,3.91e-4,1.0100000000000002e-23,0.0024200000000000003,NA
GNB,Guinea Bissau,perc_pop_highIncid,NA,NA,NA,NA
GNB,Guinea Bissau,perc_pop_medIncid,NA,NA,NA,NA
GNB,Guinea Bissau,perc_pop_lowIncid,NA,NA,NA,NA
KEN,Kenya,cases,7650.411787,4187.263438,10761.67729,NA
KEN,Kenya,rate_10k,1.5393199999999998,0.843,2.16533,NA
KEN,Kenya,perc_pop_highIncid,1.79,0.63,3.4,1.71
KEN,Kenya,perc_pop_medIncid,5.87,3.92,8.15,5.79
KEN,Kenya,perc_pop_lowIncid,5.56,3.35,8.21,5.48
LBR,Liberia,cases,79.17785596,4.4e-8,750.4644637,NA
LBR,Liberia,rate_10k,0.166,9.24e-11,1.5749700000000002,NA
LBR,Liberia,perc_pop_highIncid,0.31,0,1.6,0.07
LBR,Liberia,perc_pop_medIncid,4.06,0,10.78,3.82
LBR,Liberia,perc_pop_lowIncid,16.8,0,44.21,16.02
MLI,Mali,cases,0.070394038,4.33e-10,0.327705929,NA
MLI,Mali,rate_10k,3.74e-5,2.3000000000000003e-13,1.74e-4,NA
MLI,Mali,perc_pop_highIncid,0,0,0,0
MLI,Mali,perc_pop_medIncid,0,0,0,0
MLI,Mali,perc_pop_lowIncid,0,0,0.01,0
MOZ,Mozambique,cases,5555.698484,872.9410921,9209.744838,NA
MOZ,Mozambique,rate_10k,1.87257,0.294,3.1041800000000004,NA
MOZ,Mozambique,perc_pop_highIncid,1.58,0.47,3.2,1.54
MOZ,Mozambique,perc_pop_medIncid,5.43,0.75,11.25,6.17
MOZ,Mozambique,perc_pop_lowIncid,7.01,2.33,11.8,6.83
MRT,Mauritania,cases,0.825091652,0,1.219790252,NA
MRT,Mauritania,rate_10k,0.00187,0,0.00276,NA
MRT,Mauritania,perc_pop_highIncid,0,0,0.01,0
MRT,Mauritania,perc_pop_medIncid,0.02,0,0.09,0
MRT,Mauritania,perc_pop_lowIncid,0.13,0,0.99,0
MWI,Malawi,cases,1026.140687,26.20831057,2379.014495,NA
MWI,Malawi,rate_10k,0.5509999999999999,0.0141,1.27752,NA
MWI,Malawi,perc_pop_highIncid,0.99,0,2.56,1.19
MWI,Malawi,perc_pop_medIncid,9.88,0.15,25.11,10.59
MWI,Malawi,perc_pop_lowIncid,21.06,2.92,29.27,25.67
NER,Niger,cases,2496.577331,0.016407902,12495.28505,NA
NER,Niger,rate_10k,1.16242,7.64e-6,5.81789,NA
NER,Niger,perc_pop_highIncid,0.39,0,2.5,0
NER,Niger,perc_pop_medIncid,1.29,0,7.3,0.09
NER,Niger,perc_pop_lowIncid,1.63,0,4.7,1.68
NGA,Nigeria,cases,13166.7719,734.3943732,32538.64727,NA
NGA,Nigeria,rate_10k,0.69,0.038500000000000006,1.70461,NA
NGA,Nigeria,perc_pop_highIncid,0.76,0.01,1.86,0.47
NGA,Nigeria,perc_pop_medIncid,2.26,0.59,5.06,1.72
NGA,Nigeria,perc_pop_lowIncid,3.83,1.07,6.94,3.29
RWA,Rwanda,cases,72.27355708,0,361.2947545,NA
RWA,Rwanda,rate_10k,0.0592,0,0.296,NA
RWA,Rwanda,perc_pop_highIncid,0.01,0,0,0
RWA,Rwanda,perc_pop_medIncid,1.03,0,8.1,0
