Country,Source,Years,Mean,2.5%,97.5%
Angola,JHU,2015-2019,0.20800000000000002,0,0.7949999999999999
Benin,JHU,2015-2019,0.16099999999999998,1.0399999999999999e-5,0.758
Burkina Faso,JHU,2015-2019,3.28e-5,1.7800000000000001e-75,9.33e-5
Burundi,JHU,2015-2019,0.464,0.0826,1.0644
C. African Republic,JHU,2015-2019,0.0766,1.27e-5,0.387
Cameroon,JHU,2015-2019,0.23399999999999999,0.008409999999999999,0.643
Chad,JHU,2015-2019,0.24000000000000002,4.1400000000000003e-7,1.0767
Cote D'Ivoire,JHU,2015-2019,0.015600000000000001,0.00197,0.057100000000000005
DR Congo,JHU,2015-2019,6.0317300000000005,4.4119,8.54505
Eswatini,JHU,2015-2019,0,0,0
Ethiopia,JHU,2015-2019,1.73769,0.07300000000000001,5.470400000000001
Ghana,JHU,2015-2019,0.0586,9.44e-5,0.16799999999999998
Guinea,JHU,2015-2019,8e-4,4.07e-6,6.27e-4
Guinea Bissau,JHU,2015-2019,3.91e-4,1.0100000000000002e-23,0.0024200000000000003
Kenya,JHU,2015-2019,1.5393199999999998,0.843,2.16533
Liberia,JHU,2015-2019,0.166,9.24e-11,1.5749700000000002
Malawi,JHU,2015-2019,0.5509999999999999,0.0141,1.27752
Mali,JHU,2015-2019,3.74e-5,2.3000000000000003e-13,1.74e-4
Mauritania,JHU,2015-2019,0.00187,0,0.00276
Mozambique,JHU,2015-2019,1.87257,0.294,3.1041800000000004
Niger,JHU,2015-2019,1.16242,7.64e-6,5.81789
Nigeria,JHU,2015-2019,0.69,0.038500000000000006,1.70461
Republic of Congo,JHU,2015-2019,0.0405,0,0.182
Rwanda,JHU,2015-2019,0.0592,0,0.296
Senegal,JHU,2015-2019,0.0019399999999999999,0,0.00842
Sierra Leone,JHU,2015-2019,9.83e-4,6.380000000000001e-75,4.79e-4
Somalia,JHU,2015-2019,15.25907,3.35116,52.1532
South Africa,JHU,2015-2019,0,0,0
South Sudan,JHU,2015-2019,4.9829300000000005,1.8400000000000002e-6,15.299809999999999
Sudan,JHU,2015-2019,0.377,0,1.45328
Tanzania (incl Zanzibar),JHU,2015-2019,2.12391,0.393,5.96225
Tanzania mainland,JHU,2015-2019,1.9922,0.39799999999999996,5.856770000000001
Togo,JHU,2015-2019,0.0118,1.6599999999999997e-41,0.0752
Uganda,JHU,2015-2019,0.396,0.113,0.886
Zambia,JHU,2015-2019,1.10416,0.0181,2.45743
"Zanzibar, Tanzania",JHU,2015-2019,13.03276,0,37.59023
Zimbabwe,JHU,2015-2019,1.3262500000000002,0,6.54909
